Neoboletus_199	jlf4704|ITS|MH203883.1
Neoboletus_200	jlf5505|ITS|MH203882.1
Neoboletus_201	jlf4396|ITS|MH203881.1
Neoboletus_202	2680|ITS|KM248925.1
Neoboletus_203	cmu58_st_0237|ITS|KX017301.1
Neoboletus_204	ns1244|ITS|KU160167.1
Neoboletus_205	jlf3805|ITS|KU160166.1
Neoboletus_206	jlf3412|ITS|KU160165.1
Neoboletus_207	jlf3394|ITS|KU160164.1
Neoboletus_208	jlf3380|ITS|KU160163.1
Neoboletus_209	jlf3097|ITS|KU160162.1
Neoboletus_210	jlf2993|ITS|KU160160.1
Neoboletus_211	da_082414|ITS|KU160159.1
Neoboletus_212	akff151_14|ITS|KU160158.1
Neoboletus_213	akff150_14|ITS|KU160157.1
Neoboletus_214	akff043_14|ITS|KU160156.1
Neoboletus_215	wa0000052289|ITS|KX756398.1
Neoboletus_216	wa0000052272|ITS|KX756397.1
Neoboletus_217	mrno408|ITS|LC176761.1
Neoboletus_218	uf269|ITS|HM347665.1
Neoboletus_219	uf278|ITS|HM347644.1
Neoboletus_220	uf276|ITS|HM347643.1
Neoboletus_221	mrno139|ITS|LC068784.1
Neoboletus_222	wu_22079|ITS|KM198320.1
Neoboletus_223	wu_36052|ITS|KM198317.1
Neoboletus_224	wu_36064|ITS|KM198315.1
Neoboletus_225	herb._a._urban_3601|ITS|KM198313.1
Neoboletus_226	herb._a._urban_3522|ITS|KM198312.1
Neoboletus_227	herb._a._urban_3520|ITS|KM198311.1
Neoboletus_228	wu:31411|ITS|KM027387.1
Neoboletus_229	lah_sj4_2013|ITS|KM199730.1
Neoboletus_230	lah82|ITS|KJ802932.1
Neoboletus_231	lah59|ITS|KJ802931.1
Neoboletus_232	lah90|ITS|KJ802930.1
Neoboletus_233	1d8|ITS|AB973811.1
Neoboletus_234	1d8|ITS|AB973810.1
Neoboletus_235	ma:fungi:87278|ITS|AJ496595.1
Neoboletus_236	1730|ITS|HE814112.1
Neoboletus_237	HE817966.1|ITS|HE817966.1
Neoboletus_238	lebesp:fungi_1592|ITS|FM958177.1
Neoboletus_239	chu31|ITS|DQ407263.1
Neoboletus_240	chu19|ITS|DQ407260.1
Neoboletus_241	kun4|ITS|DQ407251.1
Neoboletus_242	kun2|ITS|DQ407250.1
Neoboletus_243	kun2|ITS|DQ407249.1
Neoboletus_244	su47|ITS|DQ131634.1
Neoboletus_245	su46|ITS|DQ131633.1
Neoboletus_246	ma_fungi_47702|ITS|AJ419188.1
