Xerocomellus_186	pdd:80742|ITS|OP141343.1
Xerocomellus_187	pdd:80627|ITS|OP141341.1
Xerocomellus_188	pdd:79784|ITS|OP141339.1
Xerocomellus_189	pdd:79845|ITS|OP141338.1
Xerocomellus_190	ubc:f34001|ITS|ON738516.1
Xerocomellus_191	s.d._russell_mycomap_1283|ITS|MK575215.1
Xerocomellus_192	mushroom_observer_338913|ITS|ON705310.1
Xerocomellus_193	152|ITS|OM972423.1
Xerocomellus_194	inat:18617460|ITS|OL602056.1
Xerocomellus_195	inat:17759679|ITS|OL602001.1
Xerocomellus_196	342157|ITS|OK649893.1
Xerocomellus_197	pul:pul00031385|ITS|OM747733.1
Xerocomellus_198	inat_37437689|ITS|OM203529.1
Xerocomellus_199	jab_95|ITS|MW675735.1
Xerocomellus_200	jab_133|ITS|MW675729.1
Xerocomellus_201	jab_110|ITS|MW675728.1
Xerocomellus_202	b391|ITS|MW675727.1
Xerocomellus_203	ubc:f28015|ITS|MZ817051.1
Xerocomellus_204	ubc:f22894|ITS|MZ817050.1
Xerocomellus_205	ubc:f22893|ITS|MZ817049.1
Xerocomellus_206	ubc:f22892|ITS|MZ817048.1
Xerocomellus_207	ubc:f24647|ITS|MZ817047.1
Xerocomellus_208	ubc:f22828|ITS|MZ817046.1
Xerocomellus_209	ubc:f19739|ITS|MZ817045.1
Xerocomellus_210	ubc:f26128|ITS|MZ817044.1
Xerocomellus_211	ubc:f26099|ITS|MZ817043.1
Xerocomellus_212	ubc:f25287|ITS|MZ817042.1
Xerocomellus_213	ubc:f28014|ITS|MZ817039.1
Xerocomellus_214	ubc:f16947|ITS|MZ817036.1
Xerocomellus_215	t20i|ITS|MZ773240.1
Xerocomellus_216	wtu_f_073117|ITS|MZ054365.1
Xerocomellus_217	pdd94421|ITS|JQ924296.1
Xerocomellus_218	pdd80741|ITS|JQ924289.1
Xerocomellus_219	mushroom_observer_327809_mycoflora_54407|ITS|MW882071.1
Xerocomellus_220	mushroom_observer_327629_mycoflora_54406|ITS|MW882070.1
Xerocomellus_221	mushroom_observer_327591_mycoflora_54405|ITS|MW882069.1
Xerocomellus_222	jlf7853|ITS|MW866487.1
Xerocomellus_223	110116mfbpl0053|ITS|MW554313.1
Xerocomellus_224	110116mfbpl0083|ITS|MW554302.1
Xerocomellus_225	g.m._2015_09_23.4|ITS|MW603181.1
Xerocomellus_226	lugo:ecc19102906|ITS|MW376718.1
Xerocomellus_227	pul_f27030|ITS|MW448633.1
Xerocomellus_228	pul_f27017|ITS|MW448631.1
Xerocomellus_229	jlf7378|ITS|MW406996.1
Xerocomellus_230	18177|ITS|JF908799.1
Xerocomellus_231	17602|ITS|JF908795.1
Xerocomellus_232	ns102711|ITS|KM213667.1
Xerocomellus_233	jlf2977|ITS|KM213666.1
Xerocomellus_234	okm25915|ITS|KM213664.1
Xerocomellus_235	ns101013|ITS|KM213663.1
Xerocomellus_236	jlf2154|ITS|KM213662.1
Xerocomellus_237	ns110511|ITS|KM213661.1
Xerocomellus_238	cfs10nov2012_1|ITS|KM213659.1
Xerocomellus_239	cfs1nov11_2|ITS|KM213658.1
Xerocomellus_240	cfs1nov11_1|ITS|KM213656.1
Xerocomellus_241	hdt18392|ITS|KM213655.1
Xerocomellus_242	jlf2298|ITS|KM213652.1
Xerocomellus_243	ns120612|ITS|KM213650.1
Xerocomellus_244	ns111012|ITS|KM213649.1
Xerocomellus_245	jlf3195|ITS|KM213648.1
Xerocomellus_246	jlf2644|ITS|KM213647.1
Xerocomellus_247	cszvm_sci_77|ITS|KM213646.1
Xerocomellus_248	cfs3nov11_2|ITS|KM213645.1
Xerocomellus_249	cfs3nov11_1|ITS|KM213644.1
Xerocomellus_250	jlf3379|ITS|KM213643.1
Xerocomellus_251	ns120712|ITS|KM213641.1
Xerocomellus_252	jlf3196|ITS|KM213640.1
Xerocomellus_253	jlf2795|ITS|KM213638.1
Xerocomellus_254	jlf2379|ITS|KM213637.1
Xerocomellus_255	ns111112|ITS|KM213636.1
Xerocomellus_256	jlf3012|ITS|KM213635.1
Xerocomellus_257	hal_bp_10|ITS|MT594542.1
Xerocomellus_258	jlf3093|ITS|KU144805.1
Xerocomellus_259	ns1375|ITS|KU144802.1
Xerocomellus_260	ns1285|ITS|KU144801.1
Xerocomellus_261	ns1284|ITS|KU144800.1
Xerocomellus_262	ucsc1028|ITS|KU144793.1
Xerocomellus_263	cs_5mar2014_1|ITS|KU144791.1
Xerocomellus_264	jlf3523|ITS|KU144789.1
Xerocomellus_265	ns1367|ITS|KU144788.1
Xerocomellus_266	ns1333|ITS|KU144787.1
Xerocomellus_267	jlf3558|ITS|KU144785.1
Xerocomellus_268	ns1438|ITS|KU144783.1
Xerocomellus_269	ns1378|ITS|KU144782.1
Xerocomellus_270	ns1376|ITS|KU144781.1
Xerocomellus_271	ns1371|ITS|KU144780.1
Xerocomellus_272	ns1369|ITS|KU144779.1
Xerocomellus_273	ns1366|ITS|KU144778.1
Xerocomellus_274	ns1334|ITS|KU144777.1
Xerocomellus_275	ns1298|ITS|KU144776.1
Xerocomellus_276	ns1246|ITS|KU144775.1
Xerocomellus_277	ns1230|ITS|KU144774.1
Xerocomellus_278	jlf3585|ITS|KU144773.1
Xerocomellus_279	jlf3559|ITS|KU144772.1
Xerocomellus_280	jlf3555|ITS|KU144771.1
Xerocomellus_281	jlf3554|ITS|KU144769.1
Xerocomellus_282	jlf3535|ITS|KU144768.1
Xerocomellus_283	jlf3532|ITS|KU144767.1
Xerocomellus_284	jlf3528|ITS|KU144766.1
Xerocomellus_285	mo194036|ITS|KU144765.1
Xerocomellus_286	ns1442|ITS|KU144764.1
Xerocomellus_287	ns1432|ITS|KU144763.1
Xerocomellus_288	ns1393|ITS|KU144762.1
Xerocomellus_289	ns1346|ITS|KU144761.1
Xerocomellus_290	ns1297|ITS|KU144760.1
Xerocomellus_291	ns1296|ITS|KU144759.1
Xerocomellus_292	ns1288|ITS|KU144758.1
Xerocomellus_293	ns1276|ITS|KU144757.1
Xerocomellus_294	ns1269|ITS|KU144756.1
Xerocomellus_295	ns1251|ITS|KU144755.1
Xerocomellus_296	jlf3695|ITS|KU144754.1
Xerocomellus_297	jlf3656|ITS|KU144753.1
Xerocomellus_298	jlf3654|ITS|KU144752.1
Xerocomellus_299	jlf3624|ITS|KU144751.1
Xerocomellus_300	jlf3620|ITS|KU144749.1
Xerocomellus_301	jlf3545|ITS|KU144748.1
Xerocomellus_302	jlf3502|ITS|KU144747.1
Xerocomellus_303	jlf3018|ITS|KU144746.1
Xerocomellus_304	jlf2995|ITS|KU144745.1
Xerocomellus_305	hdt13163|ITS|KU144744.1
Xerocomellus_306	jlf3498|ITS|KU144743.1
Xerocomellus_307	osc_trappe17620|ITS|KJ882290.1
Xerocomellus_308	osc_mes282b|ITS|KJ882289.1
Xerocomellus_309	osc_trappe12988|ITS|KJ882288.1
Xerocomellus_310	soc_647|ITS|AY918953.1
Xerocomellus_311	wtu_f_073217|ITS|MT946695.1
Xerocomellus_312	wtu_f_073216|ITS|MT946694.1
Xerocomellus_313	wtu_f_073215|ITS|MT946693.1
Xerocomellus_314	wtu_f_073214|ITS|MT946692.1
Xerocomellus_315	wtu_f_073213|ITS|MT946691.1
Xerocomellus_316	wtu_f_073212|ITS|MT946690.1
Xerocomellus_317	wtu_f_073207|ITS|MT946685.1
Xerocomellus_318	MT859129.1|ITS|MT859129.1
Xerocomellus_319	jlf5926|ITS|MH168537.1
Xerocomellus_320	jlf5930|ITS|MH168536.1
Xerocomellus_321	jlf5915|ITS|MH168535.1
Xerocomellus_322	jlf5745|ITS|MH168534.1
Xerocomellus_323	jlf5684|ITS|MH168533.1
Xerocomellus_324	cnv23|ITS|MT345200.1
Xerocomellus_325	jlf7296|ITS|MK552408.1
Xerocomellus_326	kr_m_0044831|ITS|MT006036.1
Xerocomellus_327	mth24|ITS|MN959798.1
Xerocomellus_328	mth23|ITS|MN959797.1
Xerocomellus_329	ubc:f33487|ITS|MN954756.1
Xerocomellus_330	MN947367.1|ITS|MN947367.1
Xerocomellus_331	MN947363.1|ITS|MN947363.1
Xerocomellus_332	MN947341.1|ITS|MN947341.1
Xerocomellus_333	18c|ITS|MN696797.1
Xerocomellus_334	43|ITS|MN685109.1
Xerocomellus_335	301|ITS|MN685108.1
Xerocomellus_336	jlf6772|ITS|MN306139.1
Xerocomellus_337	jlf6771|ITS|MN306138.1
