Butyriboletus_205	arora11054|ITS|KC184434.1
Butyriboletus_206	arora11053|ITS|KC184433.1
Butyriboletus_207	arora977|ITS|KC184432.1
Butyriboletus_208	osc66191|ITS|KC184431.1
Butyriboletus_209	jlf2275|ITS|KC184430.1
Butyriboletus_210	jlf2271|ITS|KC184429.1
Butyriboletus_211	jds289|ITS|KC184428.1
Butyriboletus_212	hdt43782|ITS|KC184427.1
Butyriboletus_213	arora11113|ITS|KC184426.1
Butyriboletus_214	arora11112|ITS|KC184425.1
Butyriboletus_215	arora11108|ITS|KC184423.1
Butyriboletus_216	arora11096|ITS|KC184422.1
Butyriboletus_217	arora11095|ITS|KC184421.1
Butyriboletus_218	osc67698|ITS|KC184419.1
Butyriboletus_219	jlf2654|ITS|KC184418.1
Butyriboletus_220	hdt52625|ITS|KC184417.1
Butyriboletus_221	hdt46430|ITS|KC184416.1
Butyriboletus_222	hdt44741|ITS|KC184415.1
Butyriboletus_223	cooke38653|ITS|KC184414.1
Butyriboletus_224	arora11087|ITS|KC184412.1
Butyriboletus_225	arora11086|ITS|KC184411.1
Butyriboletus_226	wu18427|ITS|KC416639.1
Butyriboletus_227	wu21299|ITS|KC416638.1
Butyriboletus_228	wu25234|ITS|KC416637.1
Butyriboletus_229	wu_28971|ITS|KC416636.1
Butyriboletus_230	wu30042|ITS|KC416635.1
Butyriboletus_231	wu26746|ITS|KC416634.1
Butyriboletus_232	vdko585|ITS|HQ882202.1
Butyriboletus_233	vdko504|ITS|HQ882201.1
Butyriboletus_234	vdko431|ITS|HQ882200.1
Butyriboletus_235	vj96038|ITS|HQ882199.1
Butyriboletus_236	hp8316|ITS|HQ882198.1
Butyriboletus_237	hdm7195|ITS|HQ882197.1
Butyriboletus_238	jr7012|ITS|HQ882196.1
Butyriboletus_239	af1335|ITS|HQ882195.1
Butyriboletus_240	vdko429|ITS|HQ882194.1
Butyriboletus_241	van_holen_b.22|ITS|HQ882193.1
Butyriboletus_242	wu_19720|ITS|JN903700.1
Butyriboletus_243	wu_18328|ITS|JN903699.1
Butyriboletus_244	wu_4729|ITS|JN903698.1
Butyriboletus_245	omer_van_de_kerckhove_925|ITS|JN903697.1
Butyriboletus_246	lachapelle_2266.01|ITS|JN903696.1
Butyriboletus_247	de_meulder_11540|ITS|JN903695.1
Butyriboletus_248	volder_97087|ITS|JN903694.1
Butyriboletus_249	lebesp:fungi_1595|ITS|FM958185.1
Butyriboletus_250	lebesp:fungi_1595|ITS|FM958181.1
Butyriboletus_251	lebesp:fungi_1595|ITS|FM958179.1
Butyriboletus_252	lebesp:fungi_1597|ITS|FM958176.1
Butyriboletus_253	noordeloos_men_9336|ITS|EU417872.1
Butyriboletus_254	bps1|ITS|AY680996.1
Butyriboletus_255	bajn1|ITS|GU233428.1
Butyriboletus_256	baqy1|ITS|GU233427.1
Butyriboletus_257	ma_fungi_47699|ITS|AJ419184.1
